tx_name,tx_count,tx_percent,tx_90th,tx_max,tx_limit,tx_rbk,tx_error,tx_dskipped
NEW_ORDER,298945,44.915%,0.116s,0.864s,5.0,0.983%,0,N/A
PAYMENT,286663,43.070%,0.029s,0.798s,5.0,N/A,0,N/A
ORDER_STATUS,26698,4.011%,0.014s,0.151s,5.0,N/A,0,N/A
STOCK_LEVEL,26504,3.982%,0.014s,0.050s,20.0,N/A,0,N/A
DELIVERY,26772,4.022%,0.000s,0.005s,5.0,N/A,0,N/A
DELIVERY_BG,26772,N/A,0.196s,1.007s,80.0,N/A,0,0
tpmC,99648.33,3874.352%,N/A,N/A,N/A,N/A,N/A,N/A
tpmTotal,221860.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A
